Time,True_Angle,Measured_Angle,Control_Signal
0.0,0.7853881633974483,0.7685311202336165,-1.0
0.001,0.7853681643974483,0.732438434085122,-1.0
0.002,0.7853381673973483,0.8399357828552622,-1.0
0.003,0.7852981733969483,0.814655212333527,-1.0
0.004,0.7852481833959484,0.7908365946612674,-1.0
0.005,0.7851881983939485,0.716044793466337,-1.0
0.006,0.7851182193904488,0.8314840268650404,-1.0
0.007,0.7850382473848495,0.8553315907072654,-1.0
0.008,0.7849482833764507,0.8316485318866983,-1.0
0.009000000000000001,0.7848483283644528,0.7914541620307807,-1.0
0.01,0.7847383833479561,0.8063286783054932,-1.0
0.011,0.784618449325961,0.8409918553251696,-1.0
0.012,0.7844885272973682,0.7987624885964928,-1.0
0.013000000000000001,0.7843486182609782,0.733035351626507,-1.0
0.014,0.7841987232154919,0.7614817667810558,-1.0
0.015,0.7840388431595101,0.7604240327447678,-1.0
0.016,0.7838689790915339,0.8346855096474124,-1.0
0.017,0.7836891320099645,0.8658697101153912,-1.0
0.018000000000000002,0.7834993029131032,0.8818143468307286,-1.0
0.019,0.7832994927991517,0.8042242177731448,-1.0
0.02,0.7830897026662115,0.8544611290627702,-1.0
0.021,0.7828699335122846,0.779943083442555,-1.0
0.022,0.7826401863352731,0.8859390029654869,-1.0
0.023,0.7824004621329793,0.8567652169003468,-1.0
0.024,0.7821507619031057,0.833904585558483,-1.0
0.025,0.7818910866432551,0.7327501573898234,-1.0
0.026000000000000002,0.7816214373509306,0.7399788337036151,-1.0
0.027,0.7813418150235353,0.7683454383383658,-1.0
0.028,0.7810522206583727,0.8605155944660959,-1.0
0.029,0.7807526552526466,0.7584840482789619,-1.0
0.03,0.780443119803461,0.8525487071713895,-1.0
0.031,0.7801236153078205,0.7674172755218484,-1.0
0.032,0.7797941427626295,0.7739468600035688,-1.0
0.033,0.779454703164693,0.8498565033824034,-1.0
0.034,0.7791052975107163,0.7729837808029747,-1.0
0.035,0.778745926797305,0.7876645729321813,-1.0
0.036000000000000004,0.7783765920209651,0.8404366233207846,-1.0
0.037,0.7779972941781027,0.7626383857705306,-1.0
0.038,0.7776080342650247,0.7584836791295156,-1.0
0.039,0.7772088132779379,0.7062195052459799,-1.0
0.04,0.7767996322129499,0.7425077433089121,-1.0
0.041,0.7763804920660683,0.8123238338737433,-1.0
0.042,0.7759513938332014,0.7461053653920436,-1.0
0.043000000000000003,0.7755123385101579,0.6766252965986717,-1.0
0.044,0.7750633270926466,0.6828744537941706,-1.0
0.045,0.774604360576277,0.8166988762647049,-1.0
0.046,0.7741354399565591,0.735846175094674,-1.0
0.047,0.7736565662289032,0.5960359488251016,-1.0
0.048,0.7731677403886201,0.844550366930397,-1.0
0.049,0.7726689634309211,0.7875372791000829,-1.0
0.05,0.7721602363509177,0.799800120608454,-1.0
0.051000000000000004,0.7716415601436223,0.6664589421334928,-1.0
0.052000000000000005,0.7711129358039477,0.7708118878512262,-1.0
0.053,0.770574364326707,0.8206059816486063,-1.0
0.054,0.7700258467066141,0.7794055967439512,-1.0
0.055,0.7694673839382832,0.7704999055966304,-1.0
0.056,0.7688989770162291,0.8001434310638119,-1.0
0.057,0.7683206269348672,0.7240336768675026,-1.0
0.058,0.7677323346885135,0.8502869518551481,-1.0
0.059000000000000004,0.7671341012713845,0.776592802608642,-1.0
0.06,0.7665259276775971,0.689476096838287,-1.0
0.061,0.7659078149011691,0.6930038366705291,-1.0
0.062,0.7652797639360187,0.8351707526898153,-1.0
0.063,0.7646417757759648,0.7396459482163986,-1.0
0.064,0.763993851414727,0.8549558289991294,-1.0
0.065,0.7633359918459253,0.7564537025393099,-1.0
0.066,0.7626681980630804,0.7362306043630042,-1.0
0.067,0.7619904710596138,0.773276047093049,-1.0
0.068,0.7613028118288476,0.8412121159850413,-1.0
0.069,0.7606052213640044,0.7272593587497592,-1.0
0.07,0.7598977006582078,0.8001845935220315,-1.0
0.07100000000000001,0.7591802507044818,0.8531434649189409,-1.0
0.07200000000000001,0.7584528724957511,0.7276744582930186,-1.0
0.073,0.7577155670248413,0.7531770433273581,-1.0
0.074,0.7569683352844786,0.7641316578506404,-1.0
0.075,0.7562111782672899,0.7999902132827929,-1.0
0.076,0.755444096965803,0.8107596890164057,-1.0
0.077,0.7546670923724461,0.7208927905661329,-1.0
0.078,0.7538801654795486,0.769357883092067,-1.0
0.079,0.7530833172793404,0.7946931998750268,-1.0
0.08,0.7522765487639522,0.6960124649890063,-1.0
0.081,0.7514598609254156,0.7820339648446389,-1.0
0.082,0.7506332547556628,0.6644257064296402,-1.0
0.083,0.749796731246527,0.8046212379454049,-1.0
0.084,0.7489502913897421,0.7491964737237946,-1.0
0.085,0.7480939361769429,0.7853769997696471,-1.0
0.08600000000000001,0.7472276665996649,0.67432841819779,-1.0
0.08700000000000001,0.7463514836493447,0.7007616357056976,-1.0
0.088,0.7454653883173195,0.692209370564219,-1.0
0.089,0.7445693815948274,0.7858824520016221,-1.0
0.09,0.7436634644730077,0.7479645843204925,-1.0
0.091,0.7427476379429001,0.7024506200744562,-1.0
0.092,0.7418219029954456,0.7269089138432145,-1.0
0.093,0.7408862606214858,0.7829670098941137,-1.0
0.094,0.7399407118117634,0.6910711945849743,-1.0
0.095,0.7389852575569219,0.7522283252158605,-1.0
0.096,0.738019898847506,0.7576992453087529,-1.0
0.097,0.7370446366739609,0.7251033155651596,-1.0
0.098,0.7360594720266332,0.696197639720684,-1.0
0.099,0.7350644058957704,0.7375183939272145,-1.0
0.1,0.7340594392715205,0.7970243457224835,-1.0
0.101,0.7330445731439331,0.8505191902792897,-1.0
0.10200000000000001,0.7320198085029584,0.7303430034428688,-1.0
0.10300000000000001,0.7309851463384479,0.6802271704485793,-1.0
0.10400000000000001,0.7299405876401538,0.7277105570573045,-1.0
0.105,0.7288861333977296,0.7229434002265616,-1.0
0.106,0.7278217846007295,0.732360927714287,-1.0
0.107,0.7267475422386093,0.6781587184472263,-1.0
0.108,0.7256634073007252,0.7129195317869346,-1.0
0.109,0.7245693807763349,0.6935463507676888,-1.0
0.11,0.7234654636545971,0.7869526383147674,-1.0
0.111,0.7223516569245714,0.7797437520096311,-1.0
0.112,0.7212279615752186,0.7688614786881349,-1.0
0.113,0.7200943785954008,0.765594157764693,-1.0
0.114,0.718950908973881,0.7101485657149988,-1.0
