Time,True_Angle,Measured_Angle,Control_Signal
0.0,0.7853881633974483,0.7880712394989026,-1.0
0.001,0.7853681643974483,0.8302469032158467,-1.0
0.002,0.7853381673973483,0.8196679482878927,-1.0
0.003,0.7852981733969483,0.7402644217442462,-1.0
0.004,0.7852481833959484,0.8283873458865545,-1.0
0.005,0.7851881983939485,0.806383046676665,-1.0
0.006,0.7851182193904488,0.7584809869532685,-1.0
0.007,0.7850382473848495,0.6995641429554226,-1.0
0.008,0.7849482833764507,0.8452969842443268,-1.0
0.009000000000000001,0.7848483283644528,0.7951341164271033,-1.0
0.01,0.7847383833479561,0.8756310475737143,-1.0
0.011,0.784618449325961,0.7821049058613146,-1.0
0.012,0.7844885272973682,0.7702648287615663,-1.0
0.013000000000000001,0.7843486182609782,0.7275490306403445,-1.0
0.014,0.7841987232154919,0.8370149692126233,-1.0
0.015,0.7840388431595101,0.7766827498240912,-1.0
0.016,0.7838689790915339,0.7712896981612838,-1.0
0.017,0.7836891320099645,0.753581281643213,-1.0
0.018000000000000002,0.7834993029131032,0.7997351946305084,-1.0
0.019,0.7832994927991517,0.772222972888374,-1.0
0.02,0.7830897026662115,0.8117498998127414,-1.0
0.021,0.7828699335122846,0.7851123975526303,-1.0
0.022,0.7826401863352731,0.8127871860692014,-1.0
0.023,0.7824004621329793,0.7573361864015027,-1.0
0.024,0.7821507619031057,0.6270916441571511,-1.0
0.025,0.7818910866432551,0.8236393176017056,-1.0
0.026000000000000002,0.7816214373509306,0.7258484070994622,-1.0
0.027,0.7813418150235353,0.7179367041161431,-1.0
0.028,0.7810522206583727,0.7497222536423956,-1.0
0.029,0.7807526552526466,0.7217976665026703,-1.0
0.03,0.780443119803461,0.7519430800289642,-1.0
0.031,0.7801236153078205,0.765493104243762,-1.0
0.032,0.7797941427626295,0.7284497364527621,-1.0
0.033,0.779454703164693,0.8184398593560273,-1.0
0.034,0.7791052975107163,0.7474643863765075,-1.0
0.035,0.778745926797305,0.7899765706673535,-1.0
0.036000000000000004,0.7783765920209651,0.8111156470947871,-1.0
0.037,0.7779972941781027,0.8836565049448714,-1.0
0.038,0.7776080342650247,0.7619045948938518,-1.0
