Time,True_Angle,Measured_Angle,Control_Signal
0.0,0.7853956173868192,0.848670209694363,-0.2546010629083089
0.001,0.7853905256201621,0.7977702142217838,-0.2546010629083089
0.002,0.7853828883520526,0.7644009330419734,-0.2546010629083089
0.003,0.7853727058370408,0.6896060088767173,-0.2546010629083089
0.004,0.7853599783296514,0.7832300824004449,-0.2546010629083089
0.005,0.7853447060843837,0.8065921678815002,-0.2546010629083089
0.006,0.7853268893557114,0.7933921645232834,-0.2546010629083089
0.007,0.7853065283980829,0.720581862692419,-0.2546010629083089
0.008,0.7852836234659211,0.8414656710845839,-0.2546010629083089
0.009000000000000001,0.7852581748136234,0.8484523006599283,-0.2546010629083089
0.01,0.7852304268811572,0.7672750112416563,-0.23018250337249688
0.011,0.7852003798984505,0.8036784564675522,-0.23018250337249688
0.012,0.7851680340954084,0.7838229623391215,-0.23018250337249688
0.013000000000000001,0.7851333897019128,0.7685461873299342,-0.23018250337249688
0.014,0.7850964469478229,0.8054072227481841,-0.23018250337249688
0.015,0.7850572060629747,0.8658795235041034,-0.23018250337249688
0.016,0.7850156672771812,0.8151740758581753,-0.23018250337249688
0.017,0.7849718308202326,0.7946219668098976,-0.23018250337249688
0.018000000000000002,0.784925696921896,0.8014342977720709,-0.23018250337249688
0.019,0.7848772658119154,0.6800589139876428,-0.23018250337249688
0.02,0.784826320846354,0.8395662306426768,-0.251869869192803
0.021,0.7847728622765971,0.7903095128574484,-0.251869869192803
0.022,0.7847168903540054,0.777594539900536,-0.251869869192803
0.023,0.7846584053299139,0.8339799230650594,-0.251869869192803
0.024,0.784597407455633,0.7376962956711022,-0.251869869192803
0.025,0.7845338969824476,0.8084984009383935,-0.251869869192803
0.026000000000000002,0.7844678741616175,0.7250486303062061,-0.251869869192803
0.027,0.7843993392443775,0.7777608929667298,-0.251869869192803
0.028,0.7843282924819375,0.7597457958010894,-0.251869869192803
0.029,0.7842547341254816,0.7800435032198628,-0.251869869192803
0.03,0.7841789229346033,0.7533967527212848,-0.22601902581638544
0.031,0.7841008591345859,0.8454032943938363,-0.22601902581638544
0.032,0.7840205429506903,0.7614654516645186,-0.22601902581638544
0.033,0.783937974608155,0.8434346943692714,-0.22601902581638544
0.034,0.7838531543321957,0.7970953058472778,-0.22601902581638544
0.035,0.7837660823480059,0.7717195174841355,-0.22601902581638544
0.036000000000000004,0.7836767588807564,0.7867955894935413,-0.22601902581638544
